text,aspect,sentiment,is_implicit,prediction
"Boot time is super fast, around anywhere from 35 seconds to 1 minute.",Boot time,positive,False,positive
tech support would not fix the problem unless I bought your plan for $150 plus.,tech support,negative,False,negative
Set up was easy.,Set up,positive,False,positive
Did not enjoy the new Windows 8 and touchscreen functions.,Windows 8,negative,False,negative
Did not enjoy the new Windows 8 and touchscreen functions.,touchscreen functions,negative,False,negative
"Other than not being a fan of click pads (industry standard these days) and the lousy internal speakers, it's hard for me to find things about this notebook I don't like, especially considering the $350 price tag.",internal speakers,negative,False,negative
"Other than not being a fan of click pads (industry standard these days) and the lousy internal speakers, it's hard for me to find things about this notebook I don't like, especially considering the $350 price tag.",price tag,positive,True,positive
"Other than not being a fan of click pads (industry standard these days) and the lousy internal speakers, it's hard for me to find things about this notebook I don't like, especially considering the $350 price tag.",click pads,negative,True,negative
No installation disk (DVD) is included.,installation disk (DVD),neutral,True,negative
"It's fast, light, and simple to use.",use,positive,False,positive
"Works well, and I am extremely happy to be back to an apple OS.",Works,positive,False,positive
"Works well, and I am extremely happy to be back to an apple OS.",apple OS,positive,False,positive
Sure it's not light and slim but the features make up for it 100%.,features,positive,False,positive
"I am pleased with the fast log on, speedy WiFi connection and the long battery life (>6 hrs).",log on,positive,False,positive
"I am pleased with the fast log on, speedy WiFi connection and the long battery life (>6 hrs).",WiFi connection,positive,False,positive
"I am pleased with the fast log on, speedy WiFi connection and the long battery life (>6 hrs).",battery life,positive,False,positive
The Apple engineers have not yet discovered the delete key.,delete key,negative,False,negative
Made interneting (part of my business) very difficult to maintain.,interneting,negative,False,negative
"Luckily, for all of us contemplating the decision, the Mac Mini is priced just right.",priced,positive,False,positive
"Super light, super sexy and everything just works.",works,positive,True,positive
"Only problem that I had was that the track pad was not very good for me, I only had a problem once or twice with it, But probably my computer was a bit defective.",track pad,negative,False,negative
It is super fast and has outstanding graphics.,graphics,positive,False,positive
But the mountain lion is just too slow.,mountain lion,negative,False,negative
Strong build though which really adds to its durability.,durability,positive,False,positive
Strong build though which really adds to its durability.,build,positive,False,positive
The battery life is excellent- 6-7 hours without charging.,battery life,positive,False,positive
I've had my computer for 2 weeks already and it works perfectly.,works,positive,False,positive
And I may be the only one but I am really liking Windows 8.,Windows 8,positive,False,positive
The baterry is very longer.,baterry,positive,False,positive
Its size is ideal and the weight is acceptable.,size,positive,False,positive
Its size is ideal and the weight is acceptable.,weight,positive,False,positive
I can say that I am fully satisfied with the performance that the computer has supplied.,performance,positive,False,positive
"This laptop has only 2 USB ports, and they are both on the same side.",USB ports,negative,True,negative
It has so much more speed and the screen is very sharp.,speed,positive,False,positive
It has so much more speed and the screen is very sharp.,screen,positive,False,positive
Everything I wanted and everything I needed and the price was great!,price,positive,False,positive
It's not inexpensive but the Hardware performance is impressive for a computer this small.,Hardware performance,positive,False,positive
"This thing is awesome, everything always works, everything is always easy to set up, everything is compatible, its literally everything I could ask for.",works,positive,False,positive
