text,aspect,sentiment,is_implicit,prediction
The bread is top notch as well.,bread,positive,False,positive
I have to say they have one of the fastest delivery times in the city.,delivery times,positive,False,positive
Food is always fresh and hot- ready to eat!,Food,positive,False,positive
Did I mention that the coffee is OUTSTANDING?,coffee,positive,False,positive
"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile.",place,positive,False,positive
"I trust the people at Go Sushi, it never disappoints.",people,positive,False,positive
"Straight-forward, no surprises, very decent Japanese food.",Japanese food,positive,False,positive
"BEST spicy tuna roll, great asian salad.",asian salad,positive,False,positive
"BEST spicy tuna roll, great asian salad.",spicy tuna roll,positive,False,positive
Try the rose roll (not on menu).,rose roll,positive,False,positive
Try the rose roll (not on menu).,menu,neutral,True,neutral
"I love the drinks, esp lychee martini, and the food is also VERY good.",drinks,positive,False,positive
"I love the drinks, esp lychee martini, and the food is also VERY good.",lychee martini,positive,False,positive
"I love the drinks, esp lychee martini, and the food is also VERY good.",food,positive,False,positive
"In fact, this was not a Nicoise salad and was barely eatable.",Nicoise salad,negative,True,negative
"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",menu,positive,False,positive
"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",drinks,neutral,True,neutral
"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",dessert pizza,neutral,True,neutral
"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.",food,positive,False,positive
"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.",live entertainment,positive,False,positive
Our waiter was horrible; so rude and disinterested.,waiter,negative,False,negative
The sangria's - watered down.,sangria,negative,False,negative
"menu - uneventful, small.",menu,negative,False,negative
Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,sushi,positive,False,positive
Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,portions,positive,False,positive
